0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
-66.72424,-58.269264,-59.03936,-70.77087,-34.279327,-17.820894,-10.555096,-6.668048,-5.0195627,-5.249672,-7.7672844,-12.798346,-11.182911,-10.680355,-10.793844,-7.942074,-7.034012,-7.6523466,-8.03721,-4.9742928,0.060419083,5.316324,8.863121,9.466888,14.567205,13.624414,7.729883,6.2941895,5.4039993,4.3806458,7.021036,8.910318,10.963623,11.030041,12.119469,10.924057,13.6597805,12.502405,6.5577126,5.7390556,6.663725,6.6901073,6.4550667,9.001041,20.402275,53.061157,51.865417,52.87868,52.287483,50.66632,46.580513,47.73448,47.033966,45.03538,43.558495,43.36415,43.910843,44.942406,42.616367,40.276413,41.555706,42.331017,40.80417,38.91861,40.87182,39.03239,34.917465,34.944733,37.22338,33.632504,30.314568,28.967766,28.777596,28.871922,23.900005,15.273895,0.0,0.0,0.0,0.0,16.286259,20.80798
-56.83486,-47.602333,-47.875206,-61.78464,-24.855013,-5.7222147,-1.5005627,-4.35135,-3.7771664,-1.4696712,-4.7859154,-7.1281033,-3.808405,-2.4596043,-1.0823612,0.30130005,1.2370319,3.1085815,2.5126896,6.3959866,9.13974,8.81477,11.497919,12.718487,18.824375,19.58763,14.706282,12.194092,9.198223,9.476456,12.604555,12.667627,13.492523,15.957365,17.516907,16.972483,16.295734,16.368534,17.645008,15.945034,16.927876,18.688608,16.638481,21.124546,31.877832,51.35421,50.9467,53.209866,51.57201,50.4441,48.282608,46.15218,45.171196,45.814598,46.468983,44.68047,43.85702,46.40653,46.861027,43.733616,44.189587,43.447956,42.08694,40.319084,38.892838,37.256783,36.253624,36.094856,34.369205,33.240158,31.157944,30.734356,28.380527,28.593567,30.038567,24.563465,0.0,0.0,0.0,0.0,15.62751,20.136616
-44.321316,-31.685555,-24.481583,-34.25099,3.9165154,22.82092,26.056675,19.580832,23.053093,26.93407,26.575983,21.691978,21.719889,21.662533,23.135376,25.059345,30.176846,30.288918,33.411896,38.847755,39.708687,36.922043,41.76905,46.992466,50.488083,46.35553,36.6718,39.843777,39.53604,32.641563,36.47362,37.261703,35.224056,37.596874,40.2795,40.060165,46.08206,42.45662,45.28261,47.89412,50.866264,50.810413,45.12697,46.464996,52.76885,51.99363,53.36209,53.210876,51.80817,51.51984,49.847305,47.824356,47.353912,48.445995,47.4569,44.240273,43.63538,45.092,43.506413,43.47109,43.146454,40.573326,38.464073,37.43646,36.263336,36.335686,35.29982,35.807907,34.41839,33.694122,33.37584,32.06064,30.61052,29.544136,26.474861,20.135693,0.0,0.0,0.0,0.0,14.99202,19.475666
-41.790504,-30.12172,-25.36462,-35.752914,-0.81372833,12.648344,15.417334,16.23916,15.512655,20.5434,20.140236,19.730202,25.97627,32.8716,31.320818,26.553888,26.914984,28.125181,31.533083,37.017544,32.212036,28.470901,35.53868,41.42634,39.801376,35.971436,30.187288,33.867397,38.31196,26.332296,27.232283,34.889694,41.73702,37.086105,35.048424,37.194683,43.998398,41.40989,41.016586,41.911903,48.095253,46.7455,39.412304,41.20086,53.881737,52.06333,52.9533,51.00695,48.97985,50.3043,47.921055,45.318085,43.911724,46.120277,45.475388,43.33064,43.811386,41.113747,39.50852,40.180847,42.463116,41.870415,39.456684,37.09765,38.885494,36.890556,33.43228,33.00482,29.938622,32.112553,31.351662,29.494953,29.382504,28.036263,24.2742,17.270897,0.0,0.0,0.0,0.0,14.261597,18.746334
-55.093708,-48.66884,-50.927734,-64.650116,-25.609993,-11.062003,-8.967909,-5.630515,-4.6535015,-4.453767,-7.0038013,-3.8962374,3.5171738,12.756214,7.96805,3.4004307,1.5381107,0.10738182,7.432169,8.577135,7.161278,6.7840786,13.920996,17.470413,16.756775,14.701768,9.156319,7.9992847,8.792456,2.4528217,5.295061,10.865526,16.125399,14.855333,14.014912,17.937342,19.10474,14.446455,15.082773,18.236723,26.64367,24.488895,15.01461,17.721825,32.79064,51.59388,51.754665,50.527058,50.833733,51.03622,51.1848,46.345203,44.521065,44.945374,46.64495,44.16568,43.62909,42.793873,41.118362,37.568787,37.57956,38.165565,40.23855,39.42604,37.281967,34.454315,33.732853,34.29577,31.664055,29.922863,27.095589,25.999416,27.554142,26.883556,25.777607,19.78907,0.0,0.0,0.0,0.0,13.557541,18.080982
-54.51053,-48.82854,-51.31624,-64.28885,-25.761892,-8.362833,-4.916519,-2.2449274,-3.330783,-3.2053385,-3.866331,-0.5070095,6.46653,12.60247,8.859909,10.474262,10.083567,8.703691,10.277414,13.527678,13.882127,10.162972,12.649019,15.201847,16.356155,15.21858,12.295559,10.824028,9.693611,4.6774006,5.7453594,10.206099,11.256607,10.984457,13.218361,16.562223,18.426565,15.878458,12.133173,15.943779,22.00777,21.439518,16.512854,18.242102,31.37296,50.762352,51.412186,52.96682,53.04245,50.134613,51.094112,48.562393,45.671944,45.294254,45.9888,43.88422,38.684914,38.902916,41.370625,42.285213,39.659313,37.69297,35.031956,35.66381,35.282867,30.845543,31.015717,31.595005,30.116257,28.925781,27.22483,28.507584,27.43991,26.06438,24.170906,17.812641,0.0,0.0,0.0,0.0,12.773972,17.293575
-52.846924,-49.30856,-52.28309,-65.0937,-28.672314,-4.211483,2.3030357,1.5796957,-3.9997225,-5.6047964,-4.198185,0.25977898,7.229143,13.013557,12.468298,12.5665455,15.367896,17.137896,18.11694,20.467701,19.746565,13.004696,13.878817,14.556019,18.81223,25.103168,21.327374,12.410759,8.890259,6.177864,8.462633,9.364487,8.160946,12.906012,15.97291,20.022854,21.57286,20.676804,14.501965,19.419043,24.067518,23.57411,17.678337,23.862501,36.602768,51.55818,52.000694,50.687218,48.72653,48.305626,50.432552,48.10398,46.2391,45.15582,45.476944,42.919216,38.40992,42.744453,44.78846,43.2611,40.920593,39.013916,35.62806,35.343056,35.51316,34.09664,34.454865,31.923801,29.936493,29.127625,27.518116,27.21661,23.865837,21.456066,21.567139,16.51191,0.0,0.0,0.0,0.0,12.138901,16.646332
-49.25635,-45.01114,-45.783443,-60.3322,-27.077713,-3.1052074,1.4263525,-0.5179081,-4.903783,-6.8460636,-2.8841295,0.86351395,5.089758,9.235882,13.788338,15.061226,13.3377285,13.376261,14.546678,16.141262,18.518265,17.93424,18.344189,20.79998,22.511831,20.97947,16.664127,14.140276,14.706533,16.820477,18.022926,18.715487,17.18492,24.388994,24.863026,22.531313,20.04626,16.93488,16.592285,21.081623,24.474314,22.824017,16.784306,21.962431,34.602383,51.252968,48.678528,49.700474,48.553764,48.85822,51.6855,49.032646,44.691574,43.01658,45.536224,43.495285,38.71331,42.029133,41.947014,39.365513,40.60721,41.198906,38.566994,35.38355,34.18216,33.758804,35.39103,34.865765,28.643074,29.755527,29.413254,27.697243,25.37788,23.964725,23.516117,18.843658,0.0,0.0,0.0,0.0,11.617134,16.125103
-49.44719,-47.689007,-50.083748,-62.976494,-25.313042,-6.113575,-0.055277824,-0.19035912,-1.6739674,-3.6513748,-2.287652,0.5399704,2.9096432,5.1812353,3.9019432,3.9690542,4.8303375,7.9606476,10.822786,15.528543,18.916805,19.146788,19.262974,19.89052,24.73762,28.288834,25.413841,21.638298,23.533205,23.801384,18.624533,15.385597,15.224499,22.106716,23.796795,22.061626,28.00278,27.465803,17.760546,16.121784,20.923376,20.741215,14.045412,16.071777,30.505774,51.35157,48.57518,48.610962,49.00316,48.240673,48.779373,46.631638,43.161217,43.48275,44.017864,42.27221,38.84401,35.673233,34.02638,34.615906,37.167717,37.88893,36.93315,36.121525,33.8646,32.434013,32.918167,32.42881,28.553036,28.92268,27.11243,25.683002,25.809662,24.66851,22.377708,14.239807,0.0,0.0,0.0,0.0,10.869286,15.371826
-52.281803,-51.52456,-53.56937,-64.85805,-28.1318,-9.181104,-1.8764076,-0.47846794,-2.8303013,-4.3120537,-3.0273857,-0.19892311,3.488037,6.540119,6.67659,7.278019,7.0040703,7.9516525,10.053667,14.857983,17.743572,19.170979,19.509438,20.526115,21.681374,25.234974,21.535305,18.539846,20.248566,18.600925,15.144791,14.802603,15.565039,18.994072,20.978119,21.719408,29.384895,29.698143,19.352932,18.310734,21.42403,19.799278,13.647509,18.347359,33.160458,49.90455,47.551796,46.96263,46.094933,44.32487,47.43406,46.73022,45.160812,43.172016,42.100838,41.768524,39.432186,38.190063,35.90869,38.607037,38.926514,38.84635,36.809242,34.271225,33.615944,31.384048,29.339493,29.279472,28.507679,27.770866,25.707012,25.885006,24.62822,23.387188,21.71297,12.998413,0.0,0.0,0.0,0.0,10.171646,14.694382
