Original_Frame,Hamming_Windowed_Frame
-6.003381e-09,-5.690936612916682e-09
-6.155777e-09,-5.855692120168954e-09
-4.9289848e-09,-4.704448222361095e-09
3.519312e-09,3.3698718273057e-09
1.5500586e-08,1.4888700395168918e-08
-6.188682e-09,-5.962229735661354e-09
-2.516982e-09,-2.4318759272040567e-09
1.2410116e-08,1.2023667285230813e-08
1.4571948e-09,1.4155581132927009e-09
-1.0744668e-08,-1.046408664804642e-08
5.068179e-10,4.947751453790795e-10
-5.659194e-10,-5.537421419044273e-10
-8.771616e-09,-8.601599803360442e-09
-2.5395848e-09,-2.495505903388751e-09
-2.3113382e-09,-2.2756497190727658e-09
3.9451245e-10,3.8913336231751157e-10
-2.9657916e-09,-2.9303812247436914e-09
-2.9186398e-09,-2.8884156608780666e-09
1.2295512e-09,1.218629149918256e-09
1.4565707e-10,1.4456139459317996e-10
-5.960146e-11,-5.922753497184619e-11
-5.7992744e-09,-5.769478766437478e-09
-3.3941503e-09,-3.3801846109185186e-09
-5.0142903e-09,-4.998222054424394e-09
-4.074182e-09,-4.064372768692465e-09
-2.1812856e-09,-2.1775245545147046e-09
-3.6015015e-09,-3.5973436928530646e-09
1.9594506e-09,1.9580819207462176e-09
-2.667571e-09,-2.6666202692939925e-09
-6.645932e-09,-6.645078979756937e-09
-7.6917567e-10,-7.691647001677882e-10
-3.186353e-09,-3.18630752605065e-09
-6.658049e-09,-6.657194398962654e-09
-8.61731e-09,-8.614239013261552e-09
5.1815356e-09,5.177916329699103e-09
5.5704428e-09,5.564011828916621e-09
-3.23206e-10,-3.2264870769123154e-10
8.703282e-09,8.68232739126871e-09
4.370875e-09,4.356868775096379e-09
-2.004314e-09,-1.996067031086713e-09
1.1798997e-09,1.173837621098577e-09
3.4758523e-09,3.4540454691724794e-09
-1.3750054e-10,-1.3646621940252606e-10
5.381392e-09,5.333589379144963e-09
1.7178499e-08,1.700060586152068e-08
7.230962e-09,7.1446272031581945e-09
-1.1740509e-10,-1.1580429382454982e-10
1.6783567e-08,1.652441773623191e-08
1.4519651e-08,1.4267637739756601e-08
7.969128e-09,7.814665360160699e-09
1.29919755e-08,1.2712418152130895e-08
6.8101205e-09,6.648301500406137e-09
-2.598429e-09,-2.5305747761454125e-09
1.06732445e-08,1.0368275927048031e-08
5.328726e-09,5.1627905324410565e-09
1.588916e-08,1.535190434028007e-08
1.3668002e-08,1.3167871100391767e-08
1.1892843e-08,1.1423373410539948e-08
1.6504616e-08,1.5803782775967006e-08
6.1414647e-09,5.861694418600484e-09
1.1805274e-08,1.1229784313110167e-08
1.4542289e-08,1.3785439753576991e-08
1.3359533e-08,1.2618852810285767e-08
1.6013413e-08,1.5069586327536413e-08
1.9815278e-09,1.8576092811776968e-09
-2.9529517e-09,-2.7573701275319916e-09
6.4882033e-10,6.033861140119257e-10
5.8229213e-09,5.392514704922234e-09
-4.7643844e-10,-4.393230867446702e-10
1.3800167e-10,1.2668798480727754e-10
1.0523048e-08,9.616419591208575e-09
9.2013615e-09,8.369342830867775e-09
4.112664e-09,3.722857336761551e-09
6.9595743e-09,6.268967322304603e-09
-5.0852043e-09,-4.557513447687919e-09
4.2127013e-09,3.756057944169816e-09
9.590393e-09,8.505614772440903e-09
5.754888e-09,5.076322732689652e-09
8.262198e-09,7.2476320186124596e-09
1.78334e-08,1.5554920382246048e-08
1.4217585e-09,1.2329265432225884e-09
2.6760651e-09,2.306907558190575e-09
8.000965e-09,6.8555477732184164e-09
9.248664e-09,7.87569546549569e-09
9.668215e-09,8.181066314344955e-09
8.410309e-09,7.070865852217138e-09
8.683354e-09,7.25250733079827e-09
1.5720387e-08,1.3042074515550548e-08
8.305516e-09,6.843452584929986e-09
8.1809555e-09,6.693911183199529e-09
5.763841e-09,4.682707029800471e-09
7.977297e-09,6.434151959184415e-09
1.07840386e-08,8.633932972189584e-09
1.40547005e-08,1.116815236897513e-08
1.7862572e-08,1.4085642927787938e-08
-1.1888133e-09,-9.301636986679053e-10
2.1239707e-08,1.648720596390675e-08
-5.384938e-09,-4.146402128313299e-09
-2.6275253e-09,-2.0066370088165574e-09
1.0843744e-08,8.212416360463129e-09
-1.2910908e-09,-9.695194737016176e-10
-4.292434e-09,-3.1955767087415202e-09
8.036733e-09,5.9307342765451845e-09
-6.721402e-09,-4.9159687337200035e-09
-2.891558e-09,-2.0957431800368655e-09
6.4712387e-09,4.647149236312915e-09
-5.201216e-09,-3.700265379990095e-09
-7.9322593e-10,-5.589705890453429e-10
-6.478136e-10,-4.5210674863963086e-10
-1.1852752e-08,-8.191121575413872e-09
1.7162871e-09,1.1743059448188645e-09
1.8981008e-09,1.285615576363437e-09
3.0565301e-09,2.04905678911331e-09
5.737155e-10,3.8061665386250906e-10
7.99015e-09,5.244980834304836e-09
-3.5435992e-09,-2.3012445079045445e-09
4.5948063e-09,2.9515180815270415e-09
1.0956808e-08,6.960696523525649e-09
-1.6725574e-09,-1.0506786488626551e-09
