Time (s),Amplitude,Frequency (Hz),Magnitude
0.006875,-1.2369128e-10,4400.0,0.00029221404
0.0069375,1.9645086e-10,4440.0,0.00014618144
0.007,-2.8376235e-10,4480.0,0.0003135932
0.0070625,4.120011e-10,4520.0,0.00064873416
0.007125,-5.2568794e-10,4560.0,0.0006373706
0.0071875,6.730261e-10,4600.0,0.00041843954
0.00725,-8.2945917e-10,4640.0,0.00018237733
0.0073125,1.029548e-09,4680.0,0.00018348773
0.0073750000000000005,-1.193257e-09,4720.0,0.00021112955
0.0074375000000000005,1.3460522e-09,4760.0,0.00017660338
0.0075,-1.5043042e-09,4800.0,0.0002472786
0.0075625,1.6498234e-09,4840.0,0.00025322643
0.007625,-1.70985e-09,4880.0,0.0003276363
0.0076875,1.720764e-09,4920.0,0.00019529836
0.00775,-1.628905e-09,4960.0,0.0004892333
0.0078125,1.4333636e-09,5000.0,0.0005773704
0.007875,-1.1132215e-09,5040.0,0.00022794875
0.0079375,6.211849e-10,5080.0,0.00020065319
0.008,3.3651304e-11,5120.0,0.00021211994
0.0080625,-9.0039975e-10,5160.0,0.0004105662
0.008125,1.9608706e-09,5200.0,0.00092408474
0.0081875,-3.261448e-09,5240.0,0.0011492078
0.00825,4.791218e-09,5280.0,0.00061172387
0.0083125,-6.486516e-09,5320.0,0.0002640387
0.008375,8.440111e-09,5360.0,0.00038055886
0.0084375,-1.05574145e-08,5400.0,0.00032650225
0.0085,1.276203e-08,5440.0,0.00012190937
0.0085625,-1.5035766e-08,5480.0,0.00018698764
0.008625,1.7305865e-08,5520.0,0.00021943238
0.0086875,-1.9503204e-08,5560.0,0.00032867506
0.00875,2.1482265e-08,5600.0,0.00043874144
0.008812500000000001,-2.313027e-08,5640.0,0.0006855363
0.008875000000000001,2.4356268e-08,5680.0,0.00052973215
0.008937500000000001,-2.5007466e-08,5720.0,0.00020633035
0.009000000000000001,2.4920155e-08,5760.0,0.00019879101
0.0090625,-2.3981556e-08,5800.0,8.175497e-05
0.009125,2.1998858e-08,5840.0,0.00015807223
0.0091875,-1.8921128e-08,5880.0,0.00012528074
0.00925,1.4557827e-08,5920.0,5.9747203e-05
0.0093125,-8.87303e-09,5960.0,0.00015625313
0.009375,1.7371349e-09,6000.0,0.00012488669
0.0094375,6.8394e-09,6040.0,0.00016834187
0.0095,-1.688386e-08,6080.0,0.00021248242
0.0095625,2.8310751e-08,6120.0,0.00013768549
0.009625,-4.1050953e-08,6160.0,6.546649e-05
0.0096875,5.493257e-08,6200.0,1.6968519e-05
0.00975,-6.9720045e-08,6240.0,6.72309e-05
0.0098125,8.517236e-08,6280.0,0.00015096822
0.009875,-1.00925945e-07,6320.0,0.00022000229
0.0099375,1.1656812e-07,6360.0,0.0002658232
0.01,-1.3168756e-07,6400.0,0.00024069354
0.0100625,1.457156e-07,6440.0,0.0001953386
0.010125,-1.5814294e-07,6480.0,8.75199e-05
0.0101875,1.6838385e-07,6520.0,0.000117518895
0.01025,-1.7576895e-07,6560.0,0.00015444044
0.0103125,1.7973434e-07,6600.0,3.276424e-05
0.010375,-1.7956336e-07,6640.0,8.980199e-05
0.0104375,1.747394e-07,6680.0,9.25015e-05
0.0105,-1.6454214e-07,6720.0,0.00012125088
0.0105625,1.4852776e-07,6760.0,0.00024561898
0.010625,-1.2615055e-07,6800.0,0.00022286535
0.0106875,9.696032e-08,6840.0,0.00014299019
0.010750000000000001,-6.065011e-08,6880.0,0.00016350987
0.010812500000000001,1.6894774e-08,6920.0,7.73864e-05
0.010875000000000001,3.4407094e-08,6960.0,0.00011788712
0.010937500000000001,-9.34815e-08,7000.0,0.000102945975
0.011,1.6025297e-07,7040.0,0.00026246184
0.0110625,-2.3475877e-07,7080.0,0.0001092835
0.011125,3.1698437e-07,7120.0,0.00028449434
0.0111875,-4.0691702e-07,7160.0,0.00041452455
0.01125,5.047841e-07,7200.0,0.00038326663
0.0113125,-6.1102764e-07,7240.0,0.00028555552
0.011375,7.2675175e-07,7280.0,0.00019813716
0.0114375,-8.5396823e-07,7320.0,0.00015913878
0.0115,9.966534e-07,7360.0,0.00011106295
0.0115625,-1.1620141e-06,7400.0,0.000110556604
0.011625,1.3641693e-06,7440.0,6.041711e-05
0.0116875,-1.6319027e-06,7480.0,0.00018420887
0.01175,2.0312655e-06,7520.0,0.00017301242
0.0118125,-2.746032e-06,7560.0,0.00016329142
0.011875,4.5208453e-06,7600.0,5.5903525e-05
0.0119375,-1.7084805e-05,7640.0,3.646891e-05
0.012,-2.8587625e-05,7680.0,1.1428643e-05
0.0120625,3.3303077e-06,7720.0,3.7371577e-05
0.012125,-2.2679378e-06,7760.0,1.9538322e-05
0.0121875,1.9918125e-06,7800.0,3.1141466e-05
0.01225,-2.131419e-06,7840.0,2.3708875e-05
0.0123125,2.7478673e-06,7880.0,2.189801e-05
0.012375,-4.5437537e-06,7920.0,2.1167605e-05
0.0124375,1.7238226e-05,7960.0,2.118439e-05
0.0125,2.8183158e-05,,
0.0125625,-2.5162826e-06,,
0.012625,7.852177e-07,,
0.0126875,7.5819844e-07,,
0.012750000000000001,-2.5380912e-05,,
0.012812500000000001,-3.118127e-05,,
0.012875000000000001,-1.2081116e-05,,
0.012937500000000001,-1.6016078e-05,,
0.013000000000000001,-1.6887872e-05,,
0.0130625,-1.0952899e-06,,
0.013125,-1.2443961e-06,,
0.0131875,1.3826029e-05,,
0.01325,1.2531062e-05,,
0.0133125,-1.9075658e-05,,
0.013375,-3.1588617e-05,,
0.0134375,-3.01299e-05,,
0.0135,-1.0545064e-05,,
0.0135625,-3.0156289e-05,,
0.013625,-2.9015257e-05,,
