MFCC_1_Z,MFCC_2_Z,MFCC_3_Z,MFCC_4_Z,MFCC_5_Z,MFCC_6_Z,MFCC_7_Z,MFCC_8_Z,MFCC_9_Z,MFCC_10_Z,MFCC_11_Z,MFCC_12_Z,MFCC_13_Z,MFCC_1_MinMax,MFCC_2_MinMax,MFCC_3_MinMax,MFCC_4_MinMax,MFCC_5_MinMax,MFCC_6_MinMax,MFCC_7_MinMax,MFCC_8_MinMax,MFCC_9_MinMax,MFCC_10_MinMax,MFCC_11_MinMax,MFCC_12_MinMax,MFCC_13_MinMax
0.6217631,0.6219556,0.6112632,0.5632312,0.4558376,0.29358935,0.11810316,-0.0024831742,-0.002369001,0.12060995,0.2931125,0.44170648,0.51412976,0.82188654,0.8516253,0.86569786,0.864724,0.8727681,0.86679995,0.8122312,0.789182,0.7552447,0.7530086,0.76571,0.78977245,0.79296327
0.7406092,0.74453086,0.74398607,0.7061531,0.58854675,0.35566354,0.005510153,-0.39801523,-0.69988066,-0.74797714,-0.54596007,-0.19444756,0.21441475,0.84960604,0.8807716,0.89647186,0.89620537,0.901075,0.8796658,0.790487,0.7148333,0.62805724,0.59089535,0.6022103,0.6587833,0.72776884
0.65603954,0.67363435,0.71092135,0.7248558,0.6591043,0.470263,0.1534866,-0.25043747,-0.6393439,-0.87390256,-0.8756533,-0.6325555,-0.16994189,0.8298812,0.86391366,0.88880527,0.900325,0.916125,0.90341836,0.8190645,0.7425737,0.6390958,0.56739265,0.537967,0.5685734,0.644163
0.4624052,0.47969404,0.5263836,0.5877075,0.64038706,0.6531362,0.5958445,0.45558125,0.25416386,0.04818402,-0.12398544,-0.25578526,-0.32847375,0.78471804,0.8177981,0.8460171,0.87011534,0.9121326,0.9413217,0.90449363,0.8752851,0.80202204,0.73949105,0.68443525,0.6461534,0.6096789
0.58104527,0.58078164,0.5758025,0.56101555,0.5444636,0.5488184,0.5934968,0.66605,0.70000976,0.6063806,0.34141842,-0.0819407,-0.5929961,0.81238985,0.8418349,0.85747576,0.86423594,0.8916721,0.9197002,0.9040402,0.9148472,0.8833196,0.84367293,0.77512276,0.6819494,0.55213964
0.72229123,0.7194522,0.6992944,0.6359827,0.5122686,0.34064886,0.16427433,0.032129556,-0.030219033,-0.04969827,-0.09167738,-0.20174003,-0.38015756,0.8453336,0.8748083,0.88610935,0.8807489,0.8848049,0.8765538,0.82114786,0.7956883,0.7501664,0.7212223,0.69073075,0.6572817,0.5984366
0.5676369,0.5859975,0.6273804,0.6547426,0.62371635,0.50970554,0.32795608,0.12083066,-0.0662581,-0.20545395,-0.30097023,-0.36756226,-0.41638234,0.8092623,0.84307516,0.8694349,0.8848812,0.9085767,0.91159344,0.8527584,0.81236154,0.7435949,0.692152,0.6499484,0.6231376,0.5905569
0.6940733,0.6893347,0.6681297,0.6167275,0.52792686,0.40444335,0.2539216,0.09313587,-0.03339725,-0.081153885,-0.07662864,-0.10396272,-0.2334511,0.83875227,0.8676469,0.8788833,0.8765076,0.8881448,0.8897762,0.83846074,0.80715567,0.7495869,0.7153514,0.6936631,0.67741483,0.6303484
1.198713,1.095317,0.79197013,0.3323541,-0.17205974,-0.56482047,-0.72602934,-0.6369043,-0.37926903,-0.08353058,0.19239253,0.4566672,0.65003103,0.9564533,0.9641822,0.9075977,0.8138687,0.73883736,0.6888809,0.6492106,0.66992897,0.686519,0.7149078,0.7460839,0.792853,0.82252467
1.3854182,1.2459496,0.85883373,0.31748402,-0.23684402,-0.6392311,-0.76082623,-0.6381458,-0.49233326,-0.441182,-0.30991662,0.041026928,0.4780633,1.0,1.0,0.9231011,0.81059325,0.72501886,0.67345816,0.6424905,0.6696956,0.6659024,0.6481557,0.64820516,0.7072694,0.78511804
1.1779428,1.092889,0.8423542,0.4626929,0.051940292,-0.25362876,-0.35473067,-0.24194556,-0.0052965363,0.19137889,0.24685434,0.17858966,-0.004201876,0.95160913,0.96360487,0.9192801,0.8425784,0.7866167,0.75338036,0.7209165,0.74416995,0.75471085,0.76621693,0.7566962,0.73559463,0.680215
0.89818287,0.84977746,0.71676224,0.53588814,0.34670934,0.149647,-0.07243123,-0.25174108,-0.23576288,-0.030420916,0.118475616,0.038085606,-0.18118894,0.88635826,0.9057973,0.89015955,0.8587011,0.849491,0.8369656,0.7754348,0.74232864,0.7126866,0.7248202,0.73168063,0.7066637,0.64171654
0.70082897,0.686349,0.6434006,0.5686209,0.44357803,0.24494952,-0.0033348324,-0.20970368,-0.2911585,-0.26271096,-0.16765057,0.018486504,0.29370824,0.84032774,0.866937,0.87314945,0.8659112,0.8701531,0.85671854,0.78877884,0.7502305,0.7025855,0.68146557,0.6759268,0.70262814,0.7450169
0.79808575,0.7711297,0.6980835,0.58055997,0.39661595,0.17186895,0.03694827,0.05666464,0.06917776,-0.06660375,-0.2574664,-0.42697814,-0.5613261,0.86301184,0.8870963,0.88582855,0.868541,0.86013615,0.84157145,0.7965584,0.8003001,0.7682909,0.71806705,0.65842545,0.6109034,0.55902857
0.99001145,0.9327962,0.780699,0.5582447,0.26228005,-0.04460189,-0.16276406,-0.011812919,0.14360799,0.0761159,-0.09420618,-0.2981472,-0.5712233,0.90777636,0.9255377,0.90498435,0.8636256,0.83148223,0.7967045,0.7579895,0.7874283,0.7818628,0.74470425,0.690238,0.6374307,0.5568757
0.88085407,0.8324484,0.6912307,0.46357688,0.1666105,-0.11059317,-0.18513158,0.052259415,0.4488412,0.7215647,0.7454308,0.5036067,0.03130117,0.8823166,0.9016768,0.8842397,0.84277314,0.81107587,0.78302675,0.75366986,0.7994721,0.8375204,0.8651709,0.8538477,0.8025182,0.6879377
1.0482436,0.99855894,0.8530168,0.6047779,0.22485717,-0.25887594,-0.66220635,-0.74807477,-0.45409214,0.040580787,0.4855565,0.67968106,0.5402389,0.9213581,0.9411749,0.9217524,0.87387544,0.8234999,0.7522928,0.66153616,0.6490321,0.67287546,0.738072,0.8032092,0.8387733,0.7986425
1.0122671,0.98653615,0.89181745,0.6832999,0.31671995,-0.19228975,-0.70326334,-0.9705346,-0.8049869,-0.31227553,0.21728365,0.62862664,0.8539355,0.9129672,0.9383161,0.93074894,0.89117146,0.8430943,0.76609385,0.6536072,0.607216,0.6088917,0.6722148,0.7509342,0.82826084,0.8668783
0.36496124,0.37744424,0.4177301,0.4927817,0.6022368,0.71505237,0.76909345,0.7158247,0.57216495,0.41613936,0.28542495,0.13893108,-0.07106005,0.76199055,0.7934849,0.820824,0.8492061,0.90399516,0.9541548,0.9379518,0.92420346,0.8600078,0.80816627,0.764212,0.7274286,0.66567194
